school,part,order,axis,series_key,series_label,point_name,n,min,max,mean,sd,stroke_hex,fill_rgba,raw_name
北市大附小,part01,1,學生個別化學習與發展,conf,配置,學生個別化學習與發展（配置）,42,2.17,6,5.03,0.85,#7E97A6,"rgba(126,151,166,0.20)",學生個別化學習與發展_配置
北市大附小,part01,1,學生個別化學習與發展,get,獲取,學生個別化學習與發展（獲取）,41,2,6,4.81,0.92,#C78F8F,"rgba(199,143,143,0.18)",學生個別化學習與發展_獲取
北市大附小,part01,2,家庭及學前教育,conf,配置,家庭及學前教育（配置）,43,2.83,6,4.9,0.86,#7E97A6,"rgba(126,151,166,0.20)",家庭及學前教育_配置
北市大附小,part01,2,家庭及學前教育,get,獲取,家庭及學前教育（獲取）,42,2.83,6,4.81,0.91,#C78F8F,"rgba(199,143,143,0.18)",家庭及學前教育_獲取
北市大附小,part01,3,學習活動參與,conf,配置,學習活動參與（配置）,42,2.83,6,5.08,0.77,#7E97A6,"rgba(126,151,166,0.20)",學習活動參與_配置
北市大附小,part01,3,學習活動參與,get,獲取,學習活動參與（獲取）,41,2.67,6,5,0.83,#C78F8F,"rgba(199,143,143,0.18)",學習活動參與_獲取
北市大附小,part01,4,社會與心理健康,conf,配置,社會與心理健康（配置）,43,1.5,6,4.75,1.01,#7E97A6,"rgba(126,151,166,0.20)",社會與心理健康_配置
北市大附小,part01,4,社會與心理健康,get,獲取,社會與心理健康（獲取）,42,1,6,4.61,1.07,#C78F8F,"rgba(199,143,143,0.18)",社會與心理健康_獲取
北市大附小,part01,5,學習彈性與扶助,conf,配置,學習彈性與扶助（配置）,43,2.5,6,5.19,0.82,#7E97A6,"rgba(126,151,166,0.20)",學習彈性與扶助_配置
北市大附小,part01,5,學習彈性與扶助,get,獲取,學習彈性與扶助（獲取）,42,2.5,6,5.04,0.84,#C78F8F,"rgba(199,143,143,0.18)",學習彈性與扶助_獲取
北市大附小,part01,6,學習空間與環境,conf,配置,學習空間與環境（配置）,43,1.83,6,4.53,0.95,#7E97A6,"rgba(126,151,166,0.20)",學習空間與環境_配置
北市大附小,part01,6,學習空間與環境,get,獲取,學習空間與環境（獲取）,42,1.83,6,4.46,0.97,#C78F8F,"rgba(199,143,143,0.18)",學習空間與環境_獲取
北市大附小,part01,7,學業與進路探索,conf,配置,學業與進路探索（配置）,43,1,6,4.52,1.1,#7E97A6,"rgba(126,151,166,0.20)",學業與進路探索_配置
北市大附小,part01,7,學業與進路探索,get,獲取,學業與進路探索（獲取）,42,1,6,4.44,1.13,#C78F8F,"rgba(199,143,143,0.18)",學業與進路探索_獲取
北市大附小,part01,8,數位學習資源,conf,配置,數位學習資源（配置）,43,1.43,6,4.71,1.17,#7E97A6,"rgba(126,151,166,0.20)",數位學習資源_配置
北市大附小,part01,8,數位學習資源,get,獲取,數位學習資源（獲取）,42,1.43,6,4.63,1.19,#C78F8F,"rgba(199,143,143,0.18)",數位學習資源_獲取
